op_code,work_center,description,est_hours,section,notes,job_no
.390,WELD,Grind inside welds smooth - top head,0.0,Top Head,,001-25
.395,WELD,Polish inside weld seams - top head,0.0,Top Head,,001-25
.450,BUILD,Build bottom head / cone,5.0,Bottom Head,,001-25
.QC4,INSPECTION,QC Inspection - Bottom,0.0,Bottom Head,,001-25
.455,DETAIL,"Lay out bottom head, burn and clean holes",0.0,Bottom Head,,001-25
.460,BUILD,Bevel bottom head,0.0,Bottom Head,,001-25
.465,DETAIL,Set  nozzles in bottom head,0.0,Bottom Head,,001-25
.466,WELD,Weld nozzles in bottom head,0.0,Bottom Head,,001-25
.470,WELD,Install and weld out repads - bottom head,0.0,Bottom Head,,001-25
.475,DETAIL,Install bottom stiffeners,0.0,Bottom Head,,001-25
.477,DETAIL,Cut and fit jacket to bottom head,0.0,Bottom Head,,001-25
.478,WELD,Weld jacket to bottom head,0.0,Bottom Head,,001-25
.479,DETAIL,Install jacket nozzles - bottom head,0.0,Bottom Head,,001-25
.482,BUILD,Install body flange on bottom head,0.0,Bottom Head,,001-25
.483,WELD,Weld body flange on bottom head,0.0,Bottom Head,,001-25
.485,WELD,Dye pen bottom head,0.0,Bottom Head,,001-25
.490,WELD,Grind inside welds smooth - bottom head,0.0,Bottom Head,,001-25
.495,WELD,Polish inside weld seams - bottom head,0.0,Bottom Head,,001-25
.500,BUILD,"Build skirt; prep, roll and tack shells",0.0,Skirt,,001-25
.510,BUILD,Build skirt; fit base ring to shell,0.0,Skirt,,001-25
.515,WELD,Weld skirt shell seams and base ring,0.0,Skirt,,001-25
.520,DETAIL,"Lay out skirt, burn and clean holes",0.0,Skirt,,001-25
.530,DETAIL,Build skirt; fit anchors / gussets,0.0,Skirt,,001-25
.540,DETAIL,Set  nozzles / manway in skirt,0.0,Skirt,,001-25
.545,WELD,"Weld skirt anchors, gussets, nozzles, manways, etc.",0.0,Skirt,,001-25
.580,PRE FAB,Fabricate internal coil supports,0.0,Internal Coils,,001-25
.590,PRE FAB,Fabricate internal coil,0.0,Internal Coils,,001-25
.OI1,INSPECTION,ASME Hold Point,0.0,Build Main Tank and Install Internals,,001-25
.600,BUILD,Fit bottom head to shell,0.0,Build Main Tank and Install Internals,,001-25
.605,BUILD,Tack shell courses together,0.0,Build Main Tank and Install Internals,,001-25
.610,WELD,Weld inside round seams,0.0,Build Main Tank and Install Internals,,001-25
.615,BUILD,Install rim angle,0.0,Build Main Tank and Install Internals,,001-25
.616,WELD,Weld rim angle inside and outside,0.0,Build Main Tank and Install Internals,,001-25
.620,DETAIL,"Lay out shell, burn and clean holes",0.0,Build Main Tank and Install Internals,,001-25
.625,DETAIL,Install baffles and weld,0.0,Build Main Tank and Install Internals,,001-25
.630,DETAIL,"Install internals (wear plates, rings, clips, etc.)",0.0,Build Main Tank and Install Internals,,001-25
.635,DETAIL,Install internal coil and supports,0.0,Build Main Tank and Install Internals,,001-25
.637,WELD,Grind inside welds smooth - shell,0.0,Build Main Tank and Install Internals,,001-25
.638,WELD,Polish inside weld seams - shell,0.0,Build Main Tank and Install Internals,,001-25
.QC5,INSPECTION,Q.C. Inspection - Internal,0.0,Build Main Tank and Install Internals,,001-25
.640,BUILD,Fit top head to shell,0.0,Build Main Tank and Install Internals,,001-25
.641,WELD,Weld top head to shell inside,0.0,Build Main Tank and Install Internals,,001-25
.645,WELD,Weld all outside seams,0.0,Build Main Tank and Install Internals,,001-25
.800,MOVE TANK,Move tank to detail rolls,0.0,Build Main Tank and Install Internals,,001-25
.700,DETAIL,Fit jacket to shell,0.0,Install Nozzles and Externals,,001-25
.705,WELD,Weld jacket to shell,0.0,Install Nozzles and Externals,,001-25
.710,DETAIL,Install jacket nozzles,0.0,Install Nozzles and Externals,,001-25
.711,WELD,Weld jacket nozzles,0.0,Install Nozzles and Externals,,001-25
.715,DETAIL,Install insulation / vacuum rings and weld,0.0,Install Nozzles and Externals,,001-25
.717,DETAIL,Install lift lugs on shell,0.0,Install Nozzles and Externals,,001-25
.720,DETAIL,"Fit supports (legs, lugs, anchors, saddles, skirt)",0.0,Install Nozzles and Externals,,001-25
.721,WELD,"Weld insulation / vacuum rings, lugs, supports, etc.",0.0,Install Nozzles and Externals,,001-25
.725,DETAIL,Set nozzles & manways in shell,0.0,Install Nozzles and Externals,,001-25
.726,WELD,"Weld shell nozzles, manways, etc.",0.0,Install Nozzles and Externals,,001-25
.730,WELD,Add repads and weld,0.0,Install Nozzles and Externals,,001-25
.735,DETAIL,Install dip pipe supports,0.0,Install Nozzles and Externals,,001-25
.740,DETAIL,Install dip pipes,0.0,Install Nozzles and Externals,,001-25
.745,DETAIL,Install mixer bridge,0.0,Install Nozzles and Externals,,001-25
.750,DETAIL,Fit handrail; install and weld clips,0.0,Install Nozzles and Externals,,001-25
.755,DETAIL,Fit ladder; install and weld clips,0.0,Install Nozzles and Externals,,001-25
.760,DETAIL,"Fit platform; install and weld clips, bracing, etc.",0.0,Install Nozzles and Externals,,001-25
.QC51,INSPECTION,UT Components,0.0,Install Nozzles and Externals,,001-25
.765,FINISHING,Install name tag,0.0,Install Nozzles and Externals,,001-25
.900,FINISHING,Dye pen test,0.0,Install Nozzles and Externals,,001-25
.770,WELD,"Inspect tank, make repairs, get QC inspector",1.0,Install Nozzles and Externals,,001-25
.QC6,INSPECTION,Q.C. Inspection - Fabrication,0.0,Install Nozzles and Externals,,001-25
.OI4,INSPECTION,Customer Inspection,0.0,Install Nozzles and Externals,,001-25
.OI2,INSPECTION,ASME Inspection - Internal,0.0,Install Nozzles and Externals,,001-25
.850,DETAIL,Remove head,0.0,Repairs,,001-25
.855,DETAIL,Remove nozzles,0.0,Repairs,,001-25
.860,DETAIL,Remove jacket,0.0,Repairs,,001-25
.801,MOVE TANK,Move to shop test area,0.0,Test and Clean,,001-25
.900,FINISHING,Dye pen test,0.0,Test and Clean,,001-25
.910,FINISHING,Test tank,0.0,Test and Clean,,001-25
.QC7,INSPECTION,QC Inspection - Test,0.0,Test and Clean,,001-25
.OI3,INSPECTION,ASME Inspection - Test,0.0,Test and Clean,,001-25
.920,FINISHING,Clean tank complete,1.0,Test and Clean,,001-25
.QC8,INSPECTION,QC Inspection - Clean,0.0,Test and Clean,,001-25
.802,MOVE TANK,Move to paint area,0.0,Test and Clean,,001-25
.QC9,INSPECTION,QC Inspection - Sandblast,0.0,Test and Clean,,001-25
.QC90,INSPECTION,QC Inspection - Paint,0.0,Test and Clean,,001-25
.940,FINISHING,Prepare tank for shipment,1.0,Test and Clean,,001-25
.950,FINISHING,Check bill of materials and pack loose parts,0.0,Test and Clean,,001-25
.QC95,INSPECTION,Q.C. Inspection - Final & Loose Items,0.0,Test and Clean,,001-25
.960,FINISHING,Load on truck,0.0,Test and Clean,,001-25
.970,SHIPPING,Take parts to galvanizers,0.0,Test and Clean,,001-25
.971,SHIPPING,Take parts to machine shop,0.0,Test and Clean,,001-25
.972,SHIPPING,Pick up parts from galvanizers,0.0,Test and Clean,,001-25
.973,SHIPPING,Pick up parts from machine shop,0.0,Test and Clean,,001-25
.QC21,INSPECTION,QC Inspection - Components return from subcontractor,0.0,Test and Clean,,001-25
.974,SHIPPING,Deliver tank,0.0,Test and Clean,,001-25
.975,SHIPPING,Deliver misc. parts,0.0,Test and Clean,,001-25
.010,PRE FAB,Receive material,0.0,,,002-24
.QC1,INSPECTION,UT top and bottom heads,0.0,,,002-24
.100,PRE FAB,Cut nozzle pipe and clean,5.0,Nozzles and Manways,,002-24
.105,PRE FAB,Build nozzles and weld,7.0,Nozzles and Manways,INCL. ELBOW FOR NOZZLE D,002-24
.107,PRE FAB,"Build Repads for Nozzles, drill and tap holes",0.0,Nozzles and Manways,,002-24
.110,PRE FAB,Build dip tubes and weld,0.0,Nozzles and Manways,,002-24
.115,PRE FAB,"Make manway parts:  cut clips, form handles, etc.",0.0,Nozzles and Manways,,002-24
.120,PRE FAB,Burn manway neck (CHECK BEFORE BURNING); Clean and bevel,0.0,Nozzles and Manways,,002-24
.125,PRE FAB,Roll manway neck,0.0,Nozzles and Manways,,002-24
.130,PRE FAB,Set up and weld manway flange and neck seam,0.0,Nozzles and Manways,,002-24
.135,PRE FAB,Build davit arm assembly and cover,0.0,Nozzles and Manways,,002-24
.140,PRE FAB,Build hatch/door,3.0,Nozzles and Manways,BUILD COVER & HINGE ASSEMBLY FOR NOZZLE E,002-24
.145,PRE FAB,Install cladding on flange,0.0,Nozzles and Manways,,002-24
.147,PRE FAB,Install cladding on blind / cover,0.0,Nozzles and Manways,,002-24
.150,PRE FAB,Burn and clean top and bottom plates (CHECK BEFORE BURNING),0.0,Flat / Cone Tops & Bottoms,,002-24
.155,PRE FAB,"Burn and clean parts:  lugs, supports, repads, base ring, etc. (CHECK!)",15.0,Supports,,002-24
.160,PRE FAB,"Burn and clean parts:  stiffeners, vacuum rings, etc.",0.0,Supports,,002-24
.165,PRE FAB,"Build supports (legs, lugs, saddles)",12.0,Supports,BUILD (2) SADDLES,002-24
.170,PRE FAB,Roll repads; drill and tap,2.0,Supports,FOR SADDLES,002-24
.175,PRE FAB,Build and weld base ring - skirt,0.0,Supports,,002-24
.180,BUILD,"Skirt; bring in plate, square, trim and clean",0.0,Supports,,002-24
.185,BUILD,Roll skirt shells,0.0,Supports,,002-24
.200,PRE FAB,"Make lift lugs, ground lugs, etc.",1.0,Misc. Parts,,002-24
.205,PRE FAB,Roll rim angle,0.0,Misc. Parts,,002-24
.210,PRE FAB,Roll insulation rings,0.0,Misc. Parts,,002-24
.215,PRE FAB,Burn and clean baffles (CHECK BEFORE BURNING),0.0,Misc. Parts,,002-24
.220,PRE FAB,Form baffles,0.0,Misc. Parts,,002-24
.225,PRE FAB,Cut and make baffle supports,0.0,Misc. Parts,,002-24
.230,PRE FAB,Build baffles and weld,0.0,Misc. Parts,,002-24
.235,PRE FAB,Build top and bottom stiffeners,0.0,Misc. Parts,,002-24
.240,PRE FAB,Roll/Burn vacuum rings (CHECK BEFORE BURNING),0.0,Misc. Parts,,002-24
.245,PRE FAB,Cut parts for mixer bridge,0.0,Misc. Parts,,002-24
.250,PRE FAB,Roll pipe - internal coil,0.0,Misc. Parts,,002-24
.252,PRE FAB,Fabricate miscellaneous parts,0.0,Misc. Parts,,002-24
.255,PRE FAB,Drill / punch holes,0.0,Misc. Parts,,002-24
.257,PRE FAB,Build Flange,0.0,Misc. Parts,,002-24
.260,PRE FAB,Sandblast parts / plates,0.0,Misc. Parts,,002-24
.261,PRE FAB,"Miscellaneous Fabrication - Braces, Mounting Plates, Cone Outlet Necks",0.0,Misc. Parts,,002-24
.262,PRE FAB,"Cut / make parts for ladder (rungs, rails, etc.)",0.0,"Ladders, Handrails and Platforms",,002-24
.265,PRE FAB,Form and roll ladder hoops,0.0,"Ladders, Handrails and Platforms",,002-24
.270,PRE FAB,Build ladder; weld out,0.0,"Ladders, Handrails and Platforms",,002-24
.272,PRE FAB,Cut / make parts for handrail,0.0,"Ladders, Handrails and Platforms",,002-24
.275,PRE FAB,Roll handrail pipe,0.0,"Ladders, Handrails and Platforms",,002-24
.280,PRE FAB,Roll handrail toe plate,0.0,"Ladders, Handrails and Platforms",,002-24
.282,PRE FAB,Build handrail; weld out,0.0,"Ladders, Handrails and Platforms",,002-24
.285,PRE FAB,Cut / make parts for platform,0.0,"Ladders, Handrails and Platforms",,002-24
.290,PRE FAB,Burn grating for platforms; clean and band,0.0,"Ladders, Handrails and Platforms",,002-24
.292,PRE FAB,Build platform; weld out,0.0,"Ladders, Handrails and Platforms",,002-24
.295,PRE FAB,Mount handrail on platform,0.0,"Ladders, Handrails and Platforms",,002-24
.QC2,INSPECTION,QC Inspection - Components prior to shipment to subcontractor,0.0,"Ladders, Handrails and Platforms",,002-24
.300,BUILD,Wrap top and bottom heads,0.0,Shells,,002-24
.QC3,INSPECTION,UT Shells,0.0,Shells,,002-24
.305,BUILD,"Shells; bring in plate, square, trim and clean",1.0,Shells,,002-24
.310,BUILD,Bevel shell plates,0.0,Shells,,002-24
.315,BUILD,"Roll shells, tack and weld inside seams",3.0,Shells,,002-24
.320,BUILD,Set up and weld sides - rectangular tank,0.0,Shells,,002-24
.325,BUILD,Install body flange on shell,0.0,Shells,,002-24
.326,WELD,Weld body flange on shell,0.0,Shells,,002-24
.350,BUILD,Build top head / cone,1.0,Top Head,LEFT HEAD (CLOSING HEAD),002-24
.QC4,INSPECTION,QC Inspection - Top,0.0,Top Head,,002-24
.355,DETAIL,"Lay out top head, burn and clean holes",0.0,Top Head,,002-24
.360,BUILD,Bevel top head,0.0,Top Head,,002-24
.365,DETAIL,Set  nozzles in top head,0.0,Top Head,,002-24
.366,WELD,Weld nozzles in top head,0.0,Top Head,,002-24
.370,WELD,Install and weld out repads - top head,0.0,Top Head,,002-24
.375,DETAIL,Install top stiffeners,0.0,Top Head,,002-24
.380,DETAIL,Build mixer bridge,0.0,Top Head,,002-24
.382,BUILD,Install body flange on top head,0.0,Top Head,,002-24
.383,WELD,Weld body flange on top head,0.0,Top Head,,002-24
.385,WELD,Dye pen top head,0.0,Top Head,,002-24
.390,WELD,Grind inside welds smooth - top head,0.0,Top Head,,002-24
.395,WELD,Polish inside weld seams - top head,0.0,Top Head,,002-24
.450,BUILD,Build bottom head / cone,1.0,Bottom Head,RIGHT HEAD,002-24
.QC4,INSPECTION,QC Inspection - Bottom,0.0,Bottom Head,,002-24
.455,DETAIL,"Lay out bottom head, burn and clean holes",0.0,Bottom Head,,002-24
.460,BUILD,Bevel bottom head,0.0,Bottom Head,,002-24
.465,DETAIL,Set  nozzles in bottom head,2.0,Bottom Head,INCL. BEVEL HOLE CUT ON BURN TABLE,002-24
.466,WELD,Weld nozzles in bottom head,2.0,Bottom Head,,002-24
.470,WELD,Install and weld out repads - bottom head,0.0,Bottom Head,,002-24
.475,DETAIL,Install bottom stiffeners,0.0,Bottom Head,,002-24
.477,DETAIL,Cut and fit jacket to bottom head,0.0,Bottom Head,,002-24
.478,WELD,Weld jacket to bottom head,0.0,Bottom Head,,002-24
.479,DETAIL,Install jacket nozzles - bottom head,0.0,Bottom Head,,002-24
.482,BUILD,Install body flange on bottom head,0.0,Bottom Head,,002-24
.483,WELD,Weld body flange on bottom head,0.0,Bottom Head,,002-24
.485,WELD,Dye pen bottom head,0.0,Bottom Head,,002-24
.490,WELD,Grind inside welds smooth - bottom head,0.0,Bottom Head,,002-24
.495,WELD,Polish inside weld seams - bottom head,0.0,Bottom Head,,002-24
.500,BUILD,"Build skirt; prep, roll and tack shells",0.0,Skirt,,002-24
.510,BUILD,Build skirt; fit base ring to shell,0.0,Skirt,,002-24
.515,WELD,Weld skirt shell seams and base ring,0.0,Skirt,,002-24
.520,DETAIL,"Lay out skirt, burn and clean holes",0.0,Skirt,,002-24
.530,DETAIL,Build skirt; fit anchors / gussets,0.0,Skirt,,002-24
.540,DETAIL,Set  nozzles / manway in skirt,0.0,Skirt,,002-24
.545,WELD,"Weld skirt anchors, gussets, nozzles, manways, etc.",0.0,Skirt,,002-24
.580,PRE FAB,Fabricate internal coil supports,0.0,Internal Coils,,002-24
.590,PRE FAB,Fabricate internal coil,0.0,Internal Coils,,002-24
.OI1,INSPECTION,ASME Hold Point,0.0,Build Main Tank and Install Internals,,002-24
.600,BUILD,Fit bottom head to shell,6.0,Build Main Tank and Install Internals,AND WELD INSIDE & OUTSIDE,002-24
.605,BUILD,Tack shell courses together,0.0,Build Main Tank and Install Internals,,002-24
.610,WELD,Weld inside round seams,0.0,Build Main Tank and Install Internals,,002-24
.615,BUILD,Install rim angle,0.0,Build Main Tank and Install Internals,,002-24
.616,WELD,Weld rim angle inside and outside,0.0,Build Main Tank and Install Internals,,002-24
.620,DETAIL,"Lay out shell, burn and clean holes",1.0,Build Main Tank and Install Internals,CLEAN UP HOLES CUT ON BURN TABLE,002-24
.625,DETAIL,Install baffles and weld,0.0,Build Main Tank and Install Internals,,002-24
.630,DETAIL,"Install internals (wear plates, rings, clips, etc.)",2.0,Build Main Tank and Install Internals,INSTALL NOZZLE A AND WELD TEE,002-24
.635,DETAIL,Install internal coil and supports,0.0,Build Main Tank and Install Internals,,002-24
.637,WELD,Grind inside welds smooth - shell,0.0,Build Main Tank and Install Internals,,002-24
.638,WELD,Polish inside weld seams - shell,0.0,Build Main Tank and Install Internals,,002-24
.QC5,INSPECTION,Q.C. Inspection - Internal,0.0,Build Main Tank and Install Internals,,002-24
.640,BUILD,Fit top head to shell,2.0,Build Main Tank and Install Internals,,002-24
.641,WELD,Weld top head to shell inside,0.0,Build Main Tank and Install Internals,,002-24
.645,WELD,Weld all outside seams,5.0,Build Main Tank and Install Internals,,002-24
.800,MOVE TANK,Move tank to detail rolls,1.0,Build Main Tank and Install Internals,,002-24
.700,DETAIL,Fit jacket to shell,0.0,Install Nozzles and Externals,,002-24
.705,WELD,Weld jacket to shell,0.0,Install Nozzles and Externals,,002-24
.710,DETAIL,Install jacket nozzles,0.0,Install Nozzles and Externals,,002-24
.711,WELD,Weld jacket nozzles,0.0,Install Nozzles and Externals,,002-24
.715,DETAIL,Install insulation / vacuum rings and weld,0.0,Install Nozzles and Externals,,002-24
.717,DETAIL,Install lift lugs on shell,2.0,Install Nozzles and Externals,,002-24
.720,DETAIL,"Fit supports (legs, lugs, anchors, saddles, skirt)",14.0,Install Nozzles and Externals,FIT & WELD SADDLES (INCL. REPADS),002-24
.721,WELD,"Weld insulation / vacuum rings, lugs, supports, etc.",0.0,Install Nozzles and Externals,,002-24
.725,DETAIL,Set nozzles & manways in shell,3.0,Install Nozzles and Externals,INSTALL SHELL NOZZLES PRIOR TO CLOSING HEAD,002-24
.726,WELD,"Weld shell nozzles, manways, etc.",6.0,Install Nozzles and Externals,INSTALL SHELL NOZZLES PRIOR TO CLOSING HEAD,002-24
.730,WELD,Add repads and weld,0.0,Install Nozzles and Externals,,002-24
.735,DETAIL,Install dip pipe supports,1.0,Install Nozzles and Externals,SUPPORT CLIP FOR NOZZLE D,002-24
.740,DETAIL,Install dip pipes,0.0,Install Nozzles and Externals,,002-24
.745,DETAIL,Install mixer bridge,0.0,Install Nozzles and Externals,,002-24
.750,DETAIL,Fit handrail; install and weld clips,0.0,Install Nozzles and Externals,,002-24
.755,DETAIL,Fit ladder; install and weld clips,0.0,Install Nozzles and Externals,,002-24
.760,DETAIL,"Fit platform; install and weld clips, bracing, etc.",0.0,Install Nozzles and Externals,,002-24
.QC51,INSPECTION,UT Components,0.0,Install Nozzles and Externals,,002-24
.765,FINISHING,Install name tag,1.0,Install Nozzles and Externals,,002-24
.900,FINISHING,Dye pen test,0.0,Install Nozzles and Externals,,002-24
.770,WELD,"Inspect tank, make repairs, get QC inspector",1.0,Install Nozzles and Externals,,002-24
.QC6,INSPECTION,Q.C. Inspection - Fabrication,0.0,Install Nozzles and Externals,,002-24
.OI4,INSPECTION,Customer Inspection,0.0,Install Nozzles and Externals,,002-24
.OI2,INSPECTION,ASME Inspection - Internal,0.0,Install Nozzles and Externals,,002-24
.850,DETAIL,Remove head,0.0,Repairs,,002-24
.855,DETAIL,Remove nozzles,0.0,Repairs,,002-24
.860,DETAIL,Remove jacket,0.0,Repairs,,002-24
.801,MOVE TANK,Move to shop test area,1.0,Test and Clean,,002-24
.900,FINISHING,Dye pen test,0.0,Test and Clean,,002-24
.910,FINISHING,Test tank,7.0,Test and Clean,,002-24
.QC7,INSPECTION,QC Inspection - Test,0.0,Test and Clean,,002-24
.OI3,INSPECTION,ASME Inspection - Test,0.0,Test and Clean,,002-24
.920,FINISHING,Clean tank complete,12.0,Test and Clean,,002-24
.QC8,INSPECTION,QC Inspection - Clean,0.0,Test and Clean,,002-24
.802,MOVE TANK,Move to paint area,0.0,Test and Clean,,002-24
.QC9,INSPECTION,QC Inspection - Sandblast,0.0,Test and Clean,,002-24
.QC90,INSPECTION,QC Inspection - Paint,0.0,Test and Clean,,002-24
.940,FINISHING,Prepare tank for shipment,1.0,Test and Clean,,002-24
.950,FINISHING,Check bill of materials and pack loose parts,0.0,Test and Clean,,002-24
.QC95,INSPECTION,Q.C. Inspection - Final & Loose Items,0.0,Test and Clean,,002-24
.960,FINISHING,Load on truck,2.0,Test and Clean,,002-24
.970,SHIPPING,Take parts to galvanizers,0.0,Test and Clean,,002-24
.971,SHIPPING,Take parts to machine shop,0.0,Test and Clean,,002-24
.972,SHIPPING,Pick up parts from galvanizers,0.0,Test and Clean,,002-24
.973,SHIPPING,Pick up parts from machine shop,0.0,Test and Clean,,002-24
.QC21,INSPECTION,QC Inspection - Components return from subcontractor,0.0,Test and Clean,,002-24
.974,SHIPPING,Deliver tank,0.0,Test and Clean,,002-24
.975,SHIPPING,Deliver misc. parts,0.0,Test and Clean,,002-24
.010,PRE FAB,Receive material,0.0,,,002-25
.QC1,INSPECTION,UT top and bottom heads,0.0,,,002-25
.100,PRE FAB,Cut nozzle pipe and clean,2.0,Nozzles and Manways,,002-25
.105,PRE FAB,Build nozzles and weld,2.0,Nozzles and Manways,,002-25
.107,PRE FAB,"Build Repads for Nozzles, drill and tap holes",0.0,Nozzles and Manways,,002-25
.110,PRE FAB,Build dip tubes and weld,0.0,Nozzles and Manways,,002-25
.115,PRE FAB,"Make manway parts:  cut clips, form handles, etc.",0.0,Nozzles and Manways,,002-25
.120,PRE FAB,Burn manway neck (CHECK BEFORE BURNING); Clean and bevel,0.0,Nozzles and Manways,,002-25
.125,PRE FAB,Roll manway neck,0.0,Nozzles and Manways,,002-25
.130,PRE FAB,Set up and weld manway flange and neck seam,0.0,Nozzles and Manways,,002-25
.135,PRE FAB,Build davit arm assembly and cover,0.0,Nozzles and Manways,,002-25
.140,PRE FAB,Build hatch/door,0.0,Nozzles and Manways,,002-25
.145,PRE FAB,Install cladding on flange,0.0,Nozzles and Manways,,002-25
.147,PRE FAB,Install cladding on blind / cover,0.0,Nozzles and Manways,,002-25
.155,PRE FAB,Cut parts on CNC plasma table,3.0,Cut & Prep Parts,,002-25
.156,PRE FAB,Clean and prep parts,2.0,Cut & Prep Parts,,002-25
.165,PRE FAB,"Build supports (legs, lugs, saddles)",6.0,Supports,,002-25
.170,PRE FAB,Roll repads; drill and tap,1.0,Supports,FOR LIFT LUGS,002-25
.175,PRE FAB,Build and weld base ring - skirt,0.0,Supports,,002-25
